"Title","Country","Impact","TimeStamp"
"Bank Holiday","NZD","Holiday",2020-10-25 22:00:00
"SPPI y/y","JPY","Low",2020-10-25 23:00:00
"German ifo Business Climate","EUR","Low",2020-10-26 09:00:00
"German Buba Monthly Report","EUR","Low",2020-10-26 11:00:00
"New Home Sales","USD","Medium",2020-10-26 14:00:00
"SNB Chairman Jordan Speaks","CHF","Low",2020-10-26 14:00:00
"Trade Balance","NZD","Low",2020-10-26 21:00:00
"RBA Deputy Gov Debelle Speaks","AUD","Low",2020-10-27 02:00:00
"BOJ Core CPI y/y","JPY","Low",2020-10-27 05:00:00
"RBA Assist Gov Bullock Speaks","AUD","Low",2020-10-27 06:00:00
"Spanish Unemployment Rate","EUR","Low",2020-10-27 08:00:00
"Private Loans y/y","EUR","Low",2020-10-27 09:00:00
"M3 Money Supply y/y","EUR","Low",2020-10-27 09:00:00
"CBI Realized Sales","GBP","Low",2020-10-27 11:00:00
"Core Durable Goods Orders m/m","USD","Medium",2020-10-27 00:00:00
"Durable Goods Orders m/m","USD","Medium",2020-10-27 00:00:00
"HPI m/m","USD","Low",2020-10-27 13:00:00
"S&P/CS Composite-20 HPI y/y","USD","Low",2020-10-27 13:00:00
"Richmond Manufacturing Index","USD","Low",2020-10-27 14:00:00
"CB Consumer Confidence","USD","Medium",2020-10-27 14:00:00
"BRC Shop Price Index y/y","GBP","Low",2020-10-28 12:00:00
"CPI q/q","AUD","High",2020-10-28 12:00:00
"Trimmed Mean CPI q/q","AUD","High",2020-10-28 12:00:00
"Nationwide HPI m/m","GBP","Low",2020-10-28 07:00:00
"German Import Prices m/m","EUR","Low",2020-10-28 07:00:00
"Credit Suisse Economic Expectations","CHF","Low",2020-10-28 09:00:00
"10-y Bond Auction","GBP","Low",2020-10-28 10:00:00
"Goods Trade Balance","USD","Low",2020-10-28 00:00:00
"Prelim Wholesale Inventories m/m","USD","Low",2020-10-28 00:00:00
"BOC Monetary Policy Report","CAD","High",2020-10-28 14:00:00
"Overnight Rate","CAD","Medium",2020-10-28 14:00:00
"BOC Rate Statement","CAD","High",2020-10-28 14:00:00
"Crude Oil Inventories","USD","Low",2020-10-28 14:00:00
"BOC Press Conference","CAD","High",2020-10-28 15:00:00
"FOMC Member Kaplan Speaks","USD","Low",2020-10-28 22:00:00
"Retail Sales y/y","JPY","Low",2020-10-28 23:00:00
"ANZ Business Confidence","NZD","Low",2020-10-29 12:00:00
"NAB Quarterly Business Confidence","AUD","Low",2020-10-29 12:00:00
"Import Prices q/q","AUD","Low",2020-10-29 12:00:00
"BOJ Outlook Report","JPY","High",2020-10-29 03:00:00
"BOJ Policy Rate","JPY","Low",2020-10-29 03:00:00
"Monetary Policy Statement","JPY","High",2020-10-29 03:00:00
"Consumer Confidence","JPY","Low",2020-10-29 05:00:00
"BOJ Press Conference","JPY","Medium",2020-10-29 06:00:00
"German Prelim CPI m/m","EUR","Low",2020-10-29 07:00:00
"Spanish Flash CPI y/y","EUR","Low",2020-10-29 08:00:00
"German Unemployment Change","EUR","Low",2020-10-29 08:00:00
"M4 Money Supply m/m","GBP","Low",2020-10-29 09:00:00
"Net Lending to Individuals m/m","GBP","Low",2020-10-29 09:00:00
"Mortgage Approvals","GBP","Low",2020-10-29 09:00:00
"Unemployment Claims","USD","Medium",2020-10-29 00:00:00
"Advance GDP Price Index q/q","USD","Medium",2020-10-29 00:00:00
"Advance GDP q/q","USD","High",2020-10-29 00:00:00
"Main Refinancing Rate","EUR","High",2020-10-29 00:00:00
"Monetary Policy Statement","EUR","High",2020-10-29 00:00:00
"ECB Press Conference","EUR","High",2020-10-29 13:00:00
"Pending Home Sales m/m","USD","Medium",2020-10-29 14:00:00
"Natural Gas Storage","USD","Low",2020-10-29 14:00:00
"Unemployment Rate","JPY","Low",2020-10-29 23:00:00
"Tokyo Core CPI y/y","JPY","Low",2020-10-29 23:00:00
"Prelim Industrial Production m/m","JPY","Low",2020-10-29 23:00:00
"Private Sector Credit m/m","AUD","Low",2020-10-30 12:00:00
"PPI q/q","AUD","Low",2020-10-30 12:00:00
"Housing Starts y/y","JPY","Low",2020-10-30 05:00:00
"French Consumer Spending m/m","EUR","Low",2020-10-30 06:00:00
"French Flash GDP q/q","EUR","Low",2020-10-30 06:00:00
"German Retail Sales m/m","EUR","Low",2020-10-30 07:00:00
"German Prelim GDP q/q","EUR","Medium",2020-10-30 07:00:00
"Retail Sales y/y","CHF","Low",2020-10-30 07:00:00
"French Prelim CPI m/m","EUR","Low",2020-10-30 07:00:00
"Spanish Flash GDP q/q","EUR","Low",2020-10-30 08:00:00
"KOF Economic Barometer","CHF","Medium",2020-10-30 08:00:00
"Italian Monthly Unemployment Rate","EUR","Low",2020-10-30 09:00:00
"Italian Prelim CPI m/m","EUR","Low",2020-10-30 10:00:00
"Prelim Flash GDP q/q","EUR","Low",2020-10-30 10:00:00
"Unemployment Rate","EUR","Low",2020-10-30 10:00:00
"Core CPI Flash Estimate y/y","EUR","Low",2020-10-30 10:00:00
"CPI Flash Estimate y/y","EUR","Low",2020-10-30 10:00:00
"Italian 10-y Bond Auction","EUR","Low",2020-10-30 10:00:00
"Italian Prelim GDP q/q","EUR","Low",2020-10-30 11:00:00
"Personal Income m/m","USD","Low",2020-10-30 00:00:00
"Personal Spending m/m","USD","Medium",2020-10-30 00:00:00
"Core PCE Price Index m/m","USD","Medium",2020-10-30 00:00:00
"GDP m/m","CAD","High",2020-10-30 00:00:00
"Employment Cost Index q/q","USD","Low",2020-10-30 00:00:00
"IPPI m/m","CAD","Low",2020-10-30 00:00:00
"RMPI m/m","CAD","Low",2020-10-30 00:00:00
"Chicago PMI","USD","Medium",2020-10-30 13:00:00
"Revised UoM Consumer Sentiment","USD","Medium",2020-10-30 14:00:00
"Revised UoM Inflation Expectations","USD","Low",2020-10-30 14:00:00
"German Buba President Weidmann Speaks","EUR","Low",2020-10-30 14:00:00
"Manufacturing PMI","CNY","Medium",2020-10-31 01:00:00
"Non-Manufacturing PMI","CNY","Low",2020-10-31 01:00:00
