"","Trades","TotalPips"
"W1_M2_P8_S65",32,522.600000000011
"W1_M2_P8_S70",31,718.900000000007
"W1_M2_P8_S75",27,652.000000000007
"W1_M2_P10_S65",35,501.40000000001
"W1_M2_P10_S70",33,610.000000000006
"W1_M2_P10_S75",28,586.500000000006
"W1_M2_P12_S65",39,462.80000000001
"W1_M2_P12_S70",36,500.800000000006
"W1_M2_P12_S75",31,420.700000000003
"W1_M2_P14_S65",39,461.800000000011
"W1_M2_P14_S70",36,499.800000000006
"W1_M2_P14_S75",31,419.700000000003
"W2_M2_P8_S65",29,355.799999999999
"W2_M2_P8_S70",25,249.499999999999
"W2_M2_P8_S75",24,218.099999999998
"W2_M2_P10_S65",29,355.799999999999
"W2_M2_P10_S70",25,249.499999999999
"W2_M2_P10_S75",24,218.099999999998
"W2_M2_P12_S65",38,677.8
"W2_M2_P12_S70",34,472.399999999999
"W2_M2_P12_S75",30,248.699999999996
"W2_M2_P14_S65",41,803.100000000003
"W2_M2_P14_S70",36,572.699999999999
"W2_M2_P14_S75",32,348.999999999997
"W3_M2_P8_S65",41,924.799999999998
"W3_M2_P8_S70",40,784.700000000004
"W3_M2_P8_S75",35,1222
"W3_M2_P10_S65",43,718.800000000001
"W3_M2_P10_S70",42,578.700000000006
"W3_M2_P10_S75",37,261.300000000005
"W3_M2_P12_S65",44,555.600000000002
"W3_M2_P12_S70",43,389.900000000007
"W3_M2_P12_S75",38,62.4000000000058
"W3_M2_P14_S65",48,559.400000000001
"W3_M2_P14_S70",47,393.700000000007
"W3_M2_P14_S75",42,18.9000000000058
"W4_M2_P8_S65",33,536.7
"W4_M2_P8_S70",33,626.300000000002
"W4_M2_P8_S75",29,555.999999999995
"W4_M2_P10_S65",37,511.300000000003
"W4_M2_P10_S70",36,592.600000000004
"W4_M2_P10_S75",32,495.899999999999
"W4_M2_P12_S65",39,648.000000000005
"W4_M2_P12_S70",37,759.400000000005
"W4_M2_P12_S75",33,704.8
"W4_M2_P14_S65",41,711.200000000004
"W4_M2_P14_S70",39,829.800000000004
"W4_M2_P14_S75",34,640.599999999999
